"timepoint","n","mean_iop","med_iop","sd_iop","se_iop","lower","upper"
"Pre-op",28,24.5714285714286,22.5,10.5638747500834,1.99638467642538,20.6585146056348,28.4843425372223
"1 DPO",22,10.75,9,6.65208524413496,1.41822933930816,7.97027049495601,13.529729505044
"6/12",22,13.8272727272727,11.5,10.2255600297528,2.18009672348059,9.55428314925077,18.1002623052947
"1 year",9,18.7777777777778,15,9.39118972465387,3.13039657488462,12.6422004910039,24.9133550645516
"2 years",1,56,56,NA,NA,NA,NA
